Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,1,699.000000,0.0097,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,2,684.000000,0.0018,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,2,719.000000,0.0084,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,2,678.000000,0.0069,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,2,668.000000,0.0097,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,2,668.000000,0.0066,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,3,663.000000,0.0011,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,3,694.000000,0.0036,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,3,698.000000,0.0117,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,3,686.000000,0.0129,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,3,649.000000,0.0048,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,4,698.000000,0.0022,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,4,719.000000,0.0059,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,4,682.000000,0.0137,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,4,661.000000,0.0064,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,4,653.000000,0.0106,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,5,665.000000,0.0013,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,5,737.000000,0.0097,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,5,667.000000,0.0050,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,5,716.000000,0.0068,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,5,705.000000,0.0177,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,6,630.000000,0.0009,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,6,697.000000,0.0037,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,6,725.000000,0.0156,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,6,700.000000,0.0254,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,6,714.000000,0.0109,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,7,675.000000,0.0020,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,7,706.000000,0.0037,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,7,707.000000,0.0090,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,7,686.000000,0.0082,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,7,703.000000,0.0176,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,8,697.000000,0.0034,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,8,693.000000,0.0043,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,8,682.000000,0.0104,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,8,686.000000,0.0126,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-300,8,689.000000,0.0114,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,9,674.000000,0.0013,
