Instancia,Incumbent,BestBd,Gap,TempoExecucao(s),NosExplorados
instances/scenario1/not_correlated_sc1/300/kpfs_10.txt,623,697,0.11878,1800.02,68256
instances/scenario1/not_correlated_sc1/300/kpfs_2.txt,741,741,0,1657.8,67957
instances/scenario1/not_correlated_sc1/300/kpfs_3.txt,683,722,0.057101,1801.62,65073
instances/scenario1/not_correlated_sc1/300/kpfs_4.txt,671,707,0.0536513,1800.08,66922
instances/scenario1/not_correlated_sc1/300/kpfs_5.txt,692,760,0.0982659,1800.02,51280
instances/scenario1/not_correlated_sc1/300/kpfs_6.txt,714,714,0,738.436,42431
instances/scenario1/not_correlated_sc1/300/kpfs_7.txt,623,670,0.0754414,1800.03,78573
instances/scenario1/not_correlated_sc1/300/kpfs_8.txt,736,800,0.0869565,1800.06,34328
instances/scenario1/not_correlated_sc1/300/kpfs_9.txt,668,743,0.112275,1800.05,28824
instances/scenario1/not_correlated_sc1/500/kpfs_1.txt,581,954,0.641997,1800.06,3263
instances/scenario1/not_correlated_sc1/500/kpfs_10.txt,545,924,0.695413,1800.03,6138
instances/scenario1/not_correlated_sc1/500/kpfs_2.txt,559,900,0.610018,1800.02,9863
instances/scenario1/not_correlated_sc1/500/kpfs_3.txt,548,932,0.70073,1800.02,8067
instances/scenario1/not_correlated_sc1/500/kpfs_4.txt,553,957,0.730561,1800.01,7266
instances/scenario1/not_correlated_sc1/500/kpfs_5.txt,529,917,0.733459,1800.02,8535
instances/scenario1/not_correlated_sc1/500/kpfs_6.txt,583,974,0.670669,1800.01,6891
instances/scenario1/not_correlated_sc1/500/kpfs_7.txt,526,933,0.773764,1800.03,8495
instances/scenario1/not_correlated_sc1/500/kpfs_8.txt,554,889,0.604693,1800.02,9049
instances/scenario1/not_correlated_sc1/500/kpfs_9.txt,531,898,0.691149,1800.03,8125
instances/scenario1/not_correlated_sc1/700/kpfs_1.txt,449,986,1.19599,1800.02,1777
instances/scenario1/not_correlated_sc1/700/kpfs_10.txt,474,989,1.0865,1800.04,1850
instances/scenario1/not_correlated_sc1/700/kpfs_2.txt,483,983,1.0352,1800.02,1721
instances/scenario1/not_correlated_sc1/700/kpfs_3.txt,472,1018,1.15678,1800.03,2175
instances/scenario1/not_correlated_sc1/700/kpfs_4.txt,477,1004,1.10482,1800.04,1847
instances/scenario1/not_correlated_sc1/700/kpfs_5.txt,465,991,1.13118,1800.02,2134
instances/scenario1/not_correlated_sc1/700/kpfs_6.txt,451,1027,1.27716,1800.01,2230
instances/scenario1/not_correlated_sc1/700/kpfs_7.txt,478,1001,1.09414,1800.02,2038
instances/scenario1/not_correlated_sc1/700/kpfs_8.txt,458,994,1.17031,1800.04,2261
instances/scenario1/not_correlated_sc1/700/kpfs_9.txt,508,1038,1.04331,1800.01,1987
instances/scenario1/not_correlated_sc1/800/kpfs_1.txt,405,1017,1.51111,1800.02,1486
instances/scenario1/not_correlated_sc1/800/kpfs_10.txt,433,1016,1.34642,1800.02,1525
instances/scenario1/not_correlated_sc1/800/kpfs_2.txt,420,986,1.34762,1800.02,1497
instances/scenario1/not_correlated_sc1/800/kpfs_3.txt,439,1010,1.30068,1800.01,1545
