Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,7,656.000000,0.0158,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,8,683.000000,0.0172,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,9,656.000000,0.0136,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,10,656.000000,0.0168,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,11,671.000000,0.0136,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,12,668.000000,0.0209,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,13,661.000000,0.0182,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,14,676.000000,0.0218,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,15,656.000000,0.0261,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,1,653.000000,0.0245,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,2,653.000000,0.0163,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,3,656.000000,0.0201,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,4,675.000000,0.0193,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,5,683.000000,0.0371,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,6,651.000000,0.0242,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,7,655.000000,0.0199,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,8,648.000000,0.0254,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,9,656.000000,0.0301,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,10,653.000000,0.0185,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,11,669.000000,0.0282,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,12,639.000000,0.0138,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,13,648.000000,0.0165,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,14,657.000000,0.0192,
scenario1,correlated_sc1,300,kpfs_8.txt,REACT_GRASP,15,672.000000,0.0186,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,1,664.000000,0.0214,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,2,670.000000,0.0597,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,3,660.000000,0.0313,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,4,671.000000,0.0188,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,5,668.000000,0.0271,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,6,690.000000,0.0240,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,7,651.000000,0.0270,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,8,668.000000,0.0177,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,9,671.000000,0.0316,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,10,664.000000,0.0447,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,11,668.000000,0.0212,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,12,669.000000,0.0269,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,13,675.000000,0.0500,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,14,653.000000,0.0403,
scenario1,correlated_sc1,300,kpfs_9.txt,REACT_GRASP,15,672.000000,0.0378,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,1,647.000000,0.0155,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,2,684.000000,0.0392,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,3,653.000000,0.0193,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,4,663.000000,0.0227,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,5,656.000000,0.0143,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,6,673.000000,0.0169,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,7,661.000000,0.0336,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,8,692.000000,0.0397,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,9,665.000000,0.0231,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,10,653.000000,0.0344,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,11,645.000000,0.0176,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,12,679.000000,0.0183,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,13,648.000000,0.0183,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,14,666.000000,0.0310,
scenario1,correlated_sc1,300,kpfs_10.txt,REACT_GRASP,15,659.000000,0.0214,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,1,823.000000,0.1750,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,2,842.000000,0.1123,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,3,808.000000,0.1639,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,4,815.000000,0.0808,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,5,802.000000,0.0895,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,6,827.000000,0.0721,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,7,811.000000,0.1018,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,8,808.000000,0.1783,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,9,823.000000,0.1581,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,10,839.000000,0.1925,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,11,854.000000,0.1761,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,12,812.000000,0.0665,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,13,836.000000,0.1017,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,14,843.000000,0.1647,
scenario1,correlated_sc1,500,kpfs_1.txt,REACT_GRASP,15,834.000000,0.1034,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,1,805.000000,0.0631,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,2,864.000000,0.1258,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,3,821.000000,0.2567,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,4,786.000000,0.1061,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,5,813.000000,0.1688,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,6,854.000000,0.0658,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,7,814.000000,0.1457,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,8,829.000000,0.2071,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,9,778.000000,0.1147,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,10,811.000000,0.0892,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,11,801.000000,0.1136,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,12,843.000000,0.0945,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,13,791.000000,0.0915,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,14,820.000000,0.1011,
scenario1,correlated_sc1,500,kpfs_3.txt,REACT_GRASP,15,796.000000,0.1336,
scenario1,correlated_sc1,500,kpfs_4.txt,REACT_GRASP,1,759.000000,0.0775,
scenario1,correlated_sc1,500,kpfs_4.txt,REACT_GRASP,2,763.000000,0.1002,
scenario1,correlated_sc1,500,kpfs_4.txt,REACT_GRASP,3,848.000000,0.1065,
scenario1,correlated_sc1,500,kpfs_4.txt,REACT_GRASP,4,785.000000,0.0895,
scenario1,correlated_sc1,500,kpfs_4.txt,REACT_GRASP,5,788.000000,0.0653,
scenario1,correlated_sc1,500,kpfs_4.txt,REACT_GRASP,6,815.000000,0.1525,
